"authorId","fullName","surname","givenName","documentCount","university","city","country","topSubjectArea","orcid"
"57212138773","Bodduru Kamesh","Kamesh","Bodduru",28,"Sharda University","Greater Noida","India","Engineering (all)","0000-0001-6335-0815"
"58115993700","Ishwor Thapa","Thapa","Ishwor",27,"Sharda University","Greater Noida","India","Engineering (all)","0009-0007-6584-5230"
"36186757700","Mathew George","George","Mathew",27,"Sharda University","Greater Noida","India","Pharmacology, Toxicology and Pharmaceutics (all)",""
"57553136900","Soumyajit Chandra","Chandra","Soumyajit",27,"Sharda University","Greater Noida","India","Energy (all)",""
"59280407300","Monika Srivastava","Srivastava","Monika",27,"Sharda University","Greater Noida","India","Materials Science (all)",""
"57203935973","Pooja Tiwari","Tiwari","Pooja",27,"Sharda University","Greater Noida","India","Decision Sciences (all)",""
"59498993400","Bhavik Jain","Jain","Bhavik",27,"Sharda University","Greater Noida","India","Physics and Astronomy (all)",""
"15072992600","Pavan Manohar Patil","Patil","Pavan Manohar",27,"Sharda University","Greater Noida","India","Medicine (all)",""
"35546383800","Rahul Saxena","Saxena","Rahul",27,"Sharda University","Greater Noida","India","Medicine (all)","0000-0002-4517-8529"
"55618692900","Preeti Rani","Rani","Preeti",26,"Sharda University","Greater Noida","India","Materials Science (all)",""
"57958776900","Bharti Jain","Jain","Bharti",26,"Sharda University","Greater Noida","India","Chemistry (all)","0000-0002-4941-4023"
"59049939700","Sandeep Kumar Singh","Singh","Sandeep Kumar",26,"Sharda University","Greater Noida","India","Engineering (all)","0009-0002-4629-4238"
"57218176818","Rakesh Sahu","Sahu","Rakesh",26,"Sharda University","Greater Noida","India","Medicine (all)","0000-0002-2500-9277"
"59251049100","Tarun Kumar Kaushik","Kaushik","Tarun Kumar",26,"Sharda University","Greater Noida","India","Computer Science (all)","0000-0002-3279-8307"
"57215038224","Rajneesh Kumar Singh","Singh","Rajneesh Kumar",26,"Sharda University","Greater Noida","India","Computer Science (all)",""
"55146627800","Pooja Rastogi","Rastogi","Pooja",26,"Sharda University","Greater Noida","India","Medicine (all)",""
"57196865627","Amit Sehgal","Sehgal","Amit",25,"Sharda University","Greater Noida","India","Computer Science (all)",""
"57193796725","Ashish Kumar Chalana","Chalana","Ashish Kumar",25,"Advanced Centre for Sustainable Bioinspired Materials (ACSBiM)","Greater Noida","India","Chemistry (all)","0000-0001-9310-2417"
"58562726700","Bhim Singh","Singh","Bhim",25,"Sharda University","Greater Noida","India","Materials Science (all)","0000-0002-1746-1933"
"57209158217","Nishant Kumar","Kumar","Nishant",25,"Sharda University","Greater Noida","India","Engineering (all)","0000-0002-3553-0613"
"35366887600","Ashutosh Niranjan","Niranjan","Ashutosh",24,"Sharda University","Greater Noida","India","Medicine (all)",""
